,Rk,Unnamed: 1,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,team_name
2,3,LaMelo Ball,20,40,1273,20.0,0.533,0.44,0.179,5.5,19.0,12.1,36.2,2.3,1.4,14.8,27.8,1.8,1.2,3.0,0.115,3.3,0.3,3.6,1.8,CHO
3,4,Terry Rozier,27,38,1240,17.4,0.552,0.509,0.156,2.1,11.4,6.7,18.4,1.7,1.2,6.3,23.2,2.1,0.6,2.8,0.107,2.5,-0.8,1.8,1.2,CHO
4,5,Kelly Oubre Jr.,26,43,1196,15.9,0.57,0.583,0.177,3.8,11.4,7.5,6.2,2.0,1.2,6.7,23.3,1.4,0.7,2.1,0.083,0.8,-1.8,-1.0,0.3,CHO
5,6,Cody Martin,26,42,1135,13.7,0.576,0.356,0.262,4.7,11.8,8.2,13.0,2.5,1.8,10.8,12.5,1.7,0.9,2.6,0.11,-0.5,0.9,0.4,0.7,CHO
6,7,Mason Plumlee,31,38,934,14.3,0.592,0.006,0.455,9.4,21.4,15.3,14.4,1.6,3.0,17.6,11.6,1.4,0.9,2.3,0.119,-1.7,1.3,-0.4,0.4,CHO
7,8,P.J. Washington,23,30,736,14.6,0.585,0.584,0.202,5.8,18.1,11.8,12.2,1.4,4.3,14.5,17.1,0.8,0.6,1.5,0.096,-0.1,0.1,0.0,0.4,CHO
8,9,Jalen McDaniels,24,39,685,12.7,0.592,0.437,0.234,4.3,16.9,10.4,8.5,1.4,2.3,12.1,15.3,0.7,0.5,1.2,0.084,-1.7,-0.4,-2.2,0.0,CHO
9,10,Ish Smith,33,30,423,9.2,0.424,0.132,0.125,1.7,10.2,5.8,25.5,2.1,1.6,16.6,19.3,-0.5,0.3,-0.2,-0.024,-4.4,-0.9,-5.4,-0.4,CHO
10,11,Nick Richards,24,34,296,17.8,0.716,0.0,0.425,9.3,16.1,12.6,5.2,1.5,6.2,17.2,15.0,0.7,0.3,1.0,0.156,-1.7,0.2,-1.5,0.0,CHO
11,12,James Bouknight,21,20,171,11.0,0.471,0.416,0.169,8.4,9.5,8.9,13.9,0.6,0.0,8.8,22.5,0.1,0.0,0.1,0.017,-1.9,-4.5,-6.4,-0.2,CHO
12,13,JT Thor,19,12,116,7.9,0.432,0.607,0.357,5.3,10.2,7.7,7.5,1.6,5.0,11.0,13.3,0.0,0.1,0.0,0.02,-4.8,-1.2,-6.0,-0.1,CHO
13,14,Kai Jones,21,14,39,0.8,0.514,0.143,0.571,2.6,13.9,8.1,6.6,0.0,0.0,36.3,14.9,-0.1,0.0,-0.1,-0.134,-9.1,-4.0,-13.1,-0.1,CHO
14,15,Vernon Carey Jr.,20,4,17,17.6,0.546,0.0,0.5,18.1,12.7,15.5,0.0,2.8,0.0,12.0,20.7,0.0,0.0,0.0,0.103,-2.5,-5.3,-7.8,0.0,CHO
15,16,Scottie Lewis,21,2,7,14.9,0.568,,,0.0,0.0,0.0,16.3,6.8,0.0,0.0,5.3,0.0,0.0,0.0,0.163,0.4,5.8,6.2,0.0,CHO
16,17,Arnoldas Kulboka,24,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.02,-5.0,-5.3,-10.3,0.0,CHO
0,1,Jayson Tatum,23,44,1616,19.5,0.541,0.392,0.298,3.5,21.8,12.6,19.0,1.3,1.9,11.1,32.2,1.5,2.3,3.8,0.113,2.7,-0.1,2.5,1.9,BOS
1,2,Marcus Smart,27,39,1325,12.7,0.51,0.47,0.254,1.9,10.7,6.3,22.9,2.9,0.8,15.5,17.4,0.6,1.9,2.5,0.089,-2.2,1.6,-0.6,0.5,BOS
2,3,Dennis Schröder,28,41,1290,14.7,0.549,0.323,0.259,2.1,9.7,5.9,23.9,1.5,0.2,13.4,23.1,1.4,1.2,2.6,0.096,-0.6,-0.7,-1.2,0.2,BOS
3,4,Jaylen Brown,25,34,1180,18.2,0.561,0.405,0.255,2.6,17.8,10.1,15.8,1.6,1.1,12.2,30.7,0.8,1.5,2.3,0.094,2.2,-0.2,2.0,1.1,BOS
4,5,Al Horford,35,39,1136,16.5,0.545,0.462,0.185,5.7,21.6,13.6,18.5,1.1,4.3,9.7,16.3,1.9,1.7,3.7,0.155,1.1,2.1,3.2,1.5,BOS
5,6,Robert Williams,24,37,1092,21.5,0.742,0.0,0.281,14.1,19.6,16.8,9.8,1.4,6.6,16.2,11.7,3.4,1.9,5.3,0.233,2.1,2.1,4.1,1.7,BOS
6,7,Grant Williams,23,43,981,11.9,0.662,0.684,0.209,3.4,12.2,7.8,6.5,1.1,2.7,12.3,12.0,1.5,1.1,2.6,0.128,-0.6,0.7,0.1,0.5,BOS
7,8,Josh Richardson,28,36,905,12.4,0.562,0.435,0.212,2.6,9.0,5.8,9.2,1.7,1.7,8.6,16.5,1.0,1.0,2.0,0.105,-1.0,0.6,-0.4,0.4,BOS
8,9,Romeo Langford,22,37,659,10.1,0.528,0.448,0.172,4.7,11.5,8.1,3.9,1.6,2.1,7.9,12.7,0.4,0.8,1.1,0.082,-2.0,0.7,-1.3,0.1,BOS
9,10,Payton Pritchard,24,38,506,10.0,0.496,0.639,0.044,2.5,11.8,7.1,19.5,0.7,0.7,12.2,18.5,0.1,0.4,0.5,0.051,-1.2,-1.3,-2.4,0.0,BOS
10,11,Enes Freedom,29,31,383,15.8,0.598,0.045,0.295,16.0,24.3,20.1,2.3,0.7,3.4,14.6,13.4,0.7,0.6,1.3,0.157,-0.8,-0.7,-1.5,0.0,BOS
11,12,Aaron Nesmith,22,32,335,5.3,0.465,0.654,0.125,2.6,15.5,9.0,4.8,1.5,0.6,14.8,16.9,-0.5,0.4,-0.1,-0.009,-5.6,-0.1,-5.7,-0.3,BOS
12,13,Jabari Parker,26,12,112,15.4,0.632,0.421,0.237,4.8,22.2,13.5,8.4,1.8,0.8,16.0,19.7,0.1,0.2,0.3,0.135,-0.2,0.6,0.4,0.1,BOS
13,14,Juancho Hernangómez,26,18,96,4.0,0.307,0.667,0.333,10.1,18.0,14.0,4.2,2.1,1.9,16.2,17.0,-0.3,0.1,-0.1,-0.064,-6.8,-1.9,-8.7,-0.2,BOS
14,15,Bruno Fernando,23,14,38,6.9,0.683,0.0,0.5,8.5,14.2,11.4,3.8,0.0,4.9,40.6,14.3,0.0,0.0,0.0,-0.003,-7.8,-0.3,-8.0,-0.1,BOS
15,16,Sam Hauser,24,7,31,8.1,0.409,1.0,0.0,3.5,10.5,7.0,4.6,1.6,3.0,0.0,15.6,0.0,0.0,0.0,0.034,-1.4,-0.4,-1.8,0.0,BOS
16,17,Brodric Thomas,25,7,28,-1.7,0.202,0.667,0.222,7.7,11.6,9.6,23.4,0.0,0.0,23.3,20.3,-0.1,0.0,-0.1,-0.211,-8.8,-3.4,-12.2,-0.1,BOS
17,18,C.J. Miles,34,1,2,-8.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.016,-16.2,-0.4,-16.6,0.0,BOS
18,19,Joe Johnson,40,1,2,40.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.333,12.2,2.4,14.7,0.0,BOS
19,20,Justin Jackson,26,1,2,23.9,0.532,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,0.0,0.0,0.0,0.255,2.0,-4.8,-2.8,0.0,BOS
0,1,Fred VanVleet,27,41,1567,19.7,0.57,0.568,0.204,2.2,11.6,6.6,28.8,2.3,1.3,12.0,24.2,3.8,1.4,5.2,0.159,4.7,0.3,4.9,2.7,TOR
1,2,Scottie Barnes,20,37,1311,15.7,0.53,0.212,0.231,8.0,16.3,11.9,14.7,1.5,2.4,11.9,18.8,1.7,1.2,2.9,0.105,0.2,-0.1,0.1,0.7,TOR
2,3,Gary Trent Jr.,23,35,1180,14.2,0.532,0.516,0.125,1.2,7.9,4.3,9.3,2.8,1.1,6.0,20.4,1.3,1.0,2.4,0.097,-0.4,0.2,-0.2,0.5,TOR
3,4,Pascal Siakam,27,31,1134,19.6,0.548,0.19,0.311,5.6,19.6,12.2,22.1,1.6,1.9,11.8,25.5,2.0,1.2,3.1,0.133,2.3,0.3,2.6,1.3,TOR
4,5,OG Anunoby,24,29,1064,15.2,0.536,0.457,0.196,4.2,12.0,7.9,10.3,2.3,1.3,9.0,22.2,1.2,1.0,2.1,0.097,0.6,-0.3,0.3,0.6,TOR
5,6,Precious Achiuwa,22,35,876,11.3,0.448,0.154,0.201,9.5,23.7,16.2,7.1,1.1,2.5,10.6,16.5,-0.1,0.9,0.9,0.047,-2.9,-0.8,-3.7,-0.4,TOR
6,7,Chris Boucher,29,42,837,18.6,0.551,0.406,0.323,11.3,21.5,16.1,2.5,1.7,5.1,7.6,19.5,1.5,1.1,2.7,0.153,0.8,-0.7,0.0,0.4,TOR
7,8,Svi Mykhailiuk,24,38,642,10.6,0.525,0.552,0.159,3.0,12.0,7.2,8.9,1.9,0.6,11.2,16.1,0.4,0.5,0.8,0.063,-1.9,-0.4,-2.3,0.0,TOR
8,9,Khem Birch,29,23,483,15.1,0.547,0.078,0.408,12.9,13.8,13.3,8.1,2.0,2.2,11.6,12.1,0.9,0.5,1.3,0.131,-0.5,0.1,-0.3,0.2,TOR
9,10,Dalano Banton,22,34,398,9.7,0.475,0.23,0.197,5.1,14.7,9.6,20.5,1.8,1.2,21.8,18.2,-0.3,0.3,0.1,0.009,-3.7,-0.5,-4.2,-0.2,TOR
10,11,Yuta Watanabe,27,19,323,10.2,0.497,0.556,0.242,4.1,18.1,10.7,6.6,1.1,3.1,10.6,16.2,0.0,0.3,0.3,0.051,-2.1,-0.7,-2.8,-0.1,TOR
11,12,Justin Champagnie,20,27,241,15.0,0.588,0.373,0.153,15.2,11.9,13.7,4.7,1.5,1.6,8.7,12.2,0.6,0.2,0.8,0.152,-0.5,-1.2,-1.8,0.0,TOR
12,13,Malachi Flynn,23,27,231,9.0,0.427,0.512,0.081,2.6,10.9,6.5,15.6,2.2,1.3,8.2,17.9,-0.1,0.2,0.1,0.025,-3.7,-0.2,-3.9,-0.1,TOR
13,14,Goran Dragić,35,5,90,16.6,0.521,0.412,0.294,2.3,15.3,8.4,14.7,2.8,1.1,2.5,18.7,0.2,0.1,0.3,0.162,-0.3,2.1,1.8,0.1,TOR
14,15,Isaac Bonga,22,12,63,8.0,0.352,0.308,0.462,6.5,5.5,6.0,6.1,5.6,3.1,11.3,11.9,-0.1,0.1,0.1,0.039,-5.8,3.9,-1.9,0.0,TOR
15,16,D.J. Wilson,25,3,48,26.9,0.779,0.182,0.909,2.1,31.1,15.7,12.7,5.2,2.1,11.5,15.5,0.2,0.1,0.3,0.316,1.6,3.1,4.6,0.1,TOR
16,17,Tremont Waters,24,2,42,5.3,0.333,0.75,0.0,0.0,10.9,5.1,22.1,4.8,0.0,25.0,16.2,-0.1,0.1,-0.1,-0.065,-7.2,-1.0,-8.2,-0.1,TOR
17,18,Juwan Morgan,24,1,27,9.7,0.833,0.667,0.0,7.5,8.5,8.0,4.9,0.0,0.0,0.0,4.7,0.1,0.0,0.1,0.129,-2.8,-4.5,-7.3,0.0,TOR
18,19,Daniel Oturu,22,3,27,13.7,0.549,0.167,0.833,3.8,17.0,10.0,0.0,0.0,7.3,0.0,13.0,0.0,0.0,0.1,0.116,-2.4,-2.9,-5.4,0.0,TOR
19,20,David Johnson,20,2,2,-20.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,-0.506,-18.7,-9.0,-27.6,0.0,TOR
20,21,Sam Dekker,27,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.01,-5.7,-3.7,-9.4,0.0,TOR
0,1,Kyle Kuzma,26,44,1455,14.7,0.544,0.415,0.232,3.8,24.8,14.5,13.3,0.9,2.0,13.3,22.2,0.3,1.5,1.8,0.059,-0.2,-0.4,-0.6,0.5,WAS
1,2,Bradley Beal,28,38,1364,18.5,0.541,0.274,0.255,3.0,11.0,7.1,31.0,1.2,0.9,13.4,31.1,1.2,0.8,2.0,0.069,2.4,-1.4,1.0,1.0,WAS
2,3,Kentavious Caldwell-Pope,28,44,1300,11.1,0.539,0.545,0.136,1.8,11.2,6.6,8.8,1.9,1.2,11.2,17.9,0.2,1.0,1.1,0.042,-1.5,0.0,-1.6,0.1,WAS
3,4,Spencer Dinwiddie,28,38,1160,14.7,0.52,0.466,0.296,2.8,13.1,8.1,27.7,1.0,0.5,11.0,21.2,1.5,0.6,2.1,0.088,0.5,-0.9,-0.4,0.5,WAS
4,5,Deni Avdija,21,47,1064,12.1,0.544,0.458,0.234,3.5,19.0,11.4,10.0,1.7,2.4,11.5,14.8,0.6,1.1,1.8,0.08,-1.8,1.0,-0.8,0.3,WAS
5,6,Montrezl Harrell,28,40,983,25.1,0.693,0.042,0.538,9.9,21.0,15.6,14.1,0.9,2.3,9.5,20.4,4.1,0.9,5.0,0.246,4.7,0.5,5.2,1.8,WAS
6,7,Daniel Gafford,23,44,941,21.4,0.71,0.0,0.324,11.6,19.8,15.8,7.2,0.9,6.3,12.7,15.2,2.9,1.2,4.0,0.205,1.1,1.0,2.1,1.0,WAS
7,8,Raul Neto,29,40,790,10.4,0.51,0.256,0.221,1.0,10.0,5.6,18.9,1.7,0.1,14.8,18.9,-0.1,0.5,0.3,0.019,-3.8,-0.6,-4.4,-0.5,WAS
8,9,Corey Kispert,22,42,761,10.4,0.559,0.561,0.185,3.2,9.7,6.5,6.3,0.8,1.2,7.9,14.0,0.7,0.3,1.0,0.063,-1.3,-1.3,-2.6,-0.1,WAS
9,10,Aaron Holiday,25,36,570,11.8,0.552,0.301,0.14,1.4,9.7,5.6,17.4,1.6,1.2,13.9,17.8,0.3,0.4,0.6,0.055,-2.2,0.1,-2.2,0.0,WAS
10,11,Dāvis Bertāns,29,32,488,9.0,0.528,0.845,0.173,1.4,12.0,6.8,4.3,1.1,1.0,6.7,17.6,0.1,0.3,0.4,0.041,-2.1,-1.3,-3.4,-0.2,WAS
11,12,Rui Hachimura,23,8,128,13.5,0.508,0.304,0.286,1.7,25.8,14.1,6.0,0.8,0.7,6.0,23.2,0.0,0.1,0.1,0.043,-1.3,-1.8,-3.1,0.0,WAS
12,13,Anthony Gill,29,18,113,18.3,0.79,0.259,0.444,7.9,16.0,12.1,10.5,0.4,1.5,13.4,14.6,0.4,0.1,0.5,0.208,1.4,-0.2,1.2,0.1,WAS
13,14,Thomas Bryant,24,6,86,17.4,0.525,0.378,0.243,10.4,13.6,12.0,7.3,1.1,2.9,2.4,21.6,0.1,0.1,0.2,0.119,0.8,-1.2,-0.4,0.0,WAS
14,15,Isaiah Todd,20,9,35,15.8,0.477,0.667,0.267,6.4,21.3,14.0,4.2,2.8,4.8,5.6,22.5,0.0,0.1,0.0,0.064,1.7,0.2,1.9,0.0,WAS
15,16,Brad Wanamaker,32,1,27,18.6,0.554,0.0,0.6,0.0,15.8,8.1,34.2,3.7,0.0,0.0,10.4,0.1,0.0,0.1,0.226,-1.5,4.8,3.3,0.0,WAS
16,17,Joel Ayayi,21,7,20,3.6,0.167,0.167,0.0,5.6,10.7,8.2,25.6,0.0,0.0,0.0,13.3,0.0,0.0,0.0,-0.091,-4.0,-1.8,-5.8,0.0,WAS
17,18,Craig Sword,28,3,19,14.6,0.75,0.25,0.0,0.0,0.0,0.0,7.8,10.4,0.0,20.0,11.7,0.0,0.0,0.1,0.17,-8.3,10.1,1.8,0.0,WAS
18,19,Greg Monroe,31,2,18,25.7,0.5,0.0,0.0,43.4,17.8,30.3,9.1,2.7,4.7,20.0,24.6,0.0,0.0,0.1,0.152,0.1,-4.3,-4.2,0.0,WAS
19,20,Alize Johnson,25,3,18,5.9,0.311,0.333,0.167,31.0,41.4,36.3,0.0,0.0,0.0,31.8,23.2,-0.1,0.0,-0.1,-0.172,-7.5,-8.3,-15.8,-0.1,WAS
20,21,Jordan Schakel,23,2,14,-10.6,0.0,0.5,0.0,15.9,7.6,11.7,0.0,0.0,0.0,0.0,19.0,-0.1,0.0,-0.1,-0.386,-11.9,-8.4,-20.4,-0.1,WAS
21,22,Tremont Waters,24,1,8,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,11.1,0.0,0.0,0.0,0.067,-9.2,4.0,-5.1,0.0,WAS
22,23,Cassius Winston,23,2,7,2.8,0.347,1.0,1.0,0.0,0.0,0.0,34.4,0.0,0.0,25.8,24.6,0.0,0.0,0.0,-0.18,-4.8,-6.0,-10.8,0.0,WAS
23,24,Jordan Goodwin,23,2,6,-20.7,0.0,0.333,0.0,0.0,17.8,9.1,0.0,0.0,0.0,0.0,22.2,-0.1,0.0,-0.1,-0.528,-24.4,-9.3,-33.7,0.0,WAS
24,25,Jaime Echenique,24,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.01,-5.2,-2.8,-8.1,0.0,WAS
0,1,Julius Randle,27,46,1631,15.8,0.509,0.336,0.288,5.2,25.2,15.1,24.5,1.1,1.8,15.7,27.5,0.0,2.1,2.2,0.064,0.3,0.1,0.4,1.0,NYK
1,2,RJ Barrett,21,41,1336,13.6,0.518,0.366,0.294,2.6,16.9,9.7,13.5,0.8,1.0,10.3,25.5,0.3,1.2,1.5,0.054,-0.2,-1.1,-1.3,0.2,NYK
2,3,Evan Fournier,29,46,1326,12.4,0.547,0.59,0.118,1.8,8.8,5.2,10.2,1.5,0.8,9.4,21.0,0.8,1.1,1.9,0.068,-0.4,-0.9,-1.3,0.2,NYK
3,4,Alec Burks,30,47,1285,14.4,0.549,0.524,0.356,2.2,15.0,8.5,14.4,2.2,0.9,8.2,18.1,2.0,1.5,3.5,0.132,-0.4,1.2,0.8,0.9,NYK
4,5,Mitchell Robinson,23,43,1071,20.4,0.75,0.0,0.533,15.0,20.9,17.9,2.8,1.0,5.9,11.7,11.3,3.4,1.6,5.0,0.224,1.0,0.5,1.5,0.9,NYK
5,6,Immanuel Quickley,22,44,986,12.5,0.523,0.576,0.206,1.7,10.0,5.8,20.8,1.5,0.3,11.5,21.6,0.8,0.8,1.6,0.079,-1.0,-0.6,-1.6,0.1,NYK
6,7,Kemba Walker,31,27,725,15.6,0.551,0.528,0.197,1.6,11.9,6.7,21.5,1.5,0.7,10.5,22.2,1.0,0.6,1.7,0.11,1.5,-0.2,1.3,0.6,NYK
7,8,Obi Toppin,23,43,674,17.4,0.598,0.297,0.314,6.5,18.5,12.4,10.3,1.0,2.9,11.2,19.9,1.2,0.8,2.0,0.142,0.4,0.2,0.7,0.5,NYK
8,9,Derrick Rose,33,26,636,17.7,0.541,0.336,0.113,3.5,9.8,6.6,27.8,1.7,1.9,11.9,22.8,0.9,0.6,1.5,0.116,2.6,-0.4,2.2,0.7,NYK
9,10,Taj Gibson,36,31,579,10.3,0.561,0.17,0.33,9.4,17.0,13.1,5.2,1.2,4.5,17.9,9.4,0.5,0.8,1.2,0.103,-4.1,1.1,-3.0,-0.1,NYK
10,11,Nerlens Noel,27,20,469,12.7,0.586,0.057,0.396,10.2,18.6,14.4,4.5,2.6,5.9,20.4,7.4,0.5,0.9,1.3,0.135,-2.6,2.6,0.0,0.2,NYK
11,12,Quentin Grimes,21,30,453,11.2,0.577,0.799,0.065,2.6,8.0,5.2,9.9,1.8,1.1,10.6,15.7,0.4,0.4,0.8,0.089,-0.5,0.6,0.0,0.2,NYK
12,13,Miles McBride,21,18,146,6.9,0.341,0.519,0.074,1.5,10.5,5.9,21.4,2.8,0.7,5.1,17.9,-0.2,0.2,0.0,-0.006,-6.0,0.9,-5.0,-0.1,NYK
13,14,Kevin Knox,22,13,111,12.2,0.529,0.7,0.25,7.7,13.8,10.7,4.2,0.9,0.9,10.1,19.8,0.1,0.1,0.2,0.067,0.7,-2.3,-1.6,0.0,NYK
14,15,Jericho Sims,23,14,89,13.1,0.768,0.0,0.5,9.6,17.2,13.3,1.6,1.1,5.6,17.0,5.9,0.2,0.1,0.3,0.15,-1.2,1.5,0.2,0.1,NYK
15,16,Damyean Dotson,27,2,21,6.6,0.5,0.25,0.0,0.0,10.4,5.1,7.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.044,-3.4,-1.5,-4.9,0.0,NYK
16,17,Wayne Selden,27,3,19,4.6,0.434,0.5,1.0,0.0,5.7,2.8,7.3,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.015,-4.2,-2.1,-6.3,0.0,NYK
17,18,Cam Reddish,22,1,5,13.1,0.5,0.5,0.0,0.0,43.7,21.6,0.0,0.0,0.0,0.0,17.8,0.0,0.0,0.0,0.067,-3.8,-0.7,-4.5,0.0,NYK
18,19,Danuel House Jr.,28,1,3,-13.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,-0.355,-12.3,-8.1,-20.4,0.0,NYK
19,20,Matt Mooney,24,1,2,-20.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,50.0,44.4,-0.1,0.0,0.0,-0.929,-33.8,11.2,-22.6,0.0,NYK
20,21,Tyler Hall,24,1,2,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.001,-8.0,-0.8,-8.9,0.0,NYK
0,1,Trae Young,23,42,1461,25.2,0.592,0.377,0.348,2.0,10.3,6.2,46.4,1.4,0.2,14.9,35.0,4.7,0.3,5.0,0.164,6.7,-2.3,4.4,2.4,ATL
1,2,John Collins,24,41,1318,19.9,0.631,0.265,0.305,6.3,20.5,13.4,9.8,1.0,3.1,8.0,19.9,3.7,0.8,4.5,0.165,2.2,-0.2,2.0,1.3,ATL
2,3,Kevin Huerter,23,39,1136,11.8,0.564,0.504,0.081,1.6,11.1,6.4,14.5,0.9,0.9,11.5,17.4,1.0,0.1,1.2,0.049,-0.5,-1.4,-1.9,0.0,ATL
3,4,Clint Capela,27,38,1120,21.1,0.565,0.003,0.288,14.9,32.2,23.7,7.2,1.4,4.5,5.4,16.0,2.8,1.3,4.2,0.179,1.8,-0.3,1.5,1.0,ATL
4,5,Danilo Gallinari,33,36,831,14.5,0.582,0.523,0.286,2.7,17.6,10.2,9.0,0.9,0.8,6.6,18.3,1.5,0.3,1.8,0.104,1.1,-1.5,-0.4,0.3,ATL
5,6,Bogdan Bogdanović,29,28,803,12.0,0.533,0.581,0.116,1.2,13.0,7.1,13.0,1.2,0.7,7.9,18.8,0.6,0.2,0.8,0.05,-0.2,-0.9,-1.1,0.2,ATL
6,7,Cam Reddish,22,34,797,13.3,0.537,0.446,0.233,2.8,8.7,5.8,7.1,2.2,1.3,10.4,23.2,0.2,0.3,0.6,0.035,-0.7,-1.0,-1.7,0.1,ATL
7,8,Delon Wright,29,41,733,13.9,0.577,0.408,0.254,4.4,12.7,8.6,19.0,2.6,1.0,15.5,11.2,1.2,0.5,1.7,0.109,0.3,1.4,1.7,0.7,ATL
8,9,De'Andre Hunter,24,18,528,11.0,0.555,0.378,0.204,1.5,10.9,6.2,5.1,1.2,1.7,10.5,19.8,0.1,0.2,0.2,0.022,-1.9,-1.2,-3.1,-0.1,ATL
9,10,Lou Williams,35,32,459,12.2,0.487,0.338,0.234,2.4,9.5,6.0,17.7,1.8,0.4,10.5,23.7,0.0,0.1,0.2,0.016,-2.6,-2.0,-4.6,-0.3,ATL
10,11,Timothé Luwawu-Cabarrot,26,31,430,8.7,0.544,0.695,0.169,2.0,9.6,5.8,7.9,1.3,0.6,9.3,14.3,0.3,0.1,0.4,0.041,-2.5,-1.4,-3.9,-0.2,ATL
11,12,Onyeka Okongwu,21,14,337,19.5,0.751,0.0,0.514,11.1,17.1,14.1,6.9,1.3,6.8,17.3,13.5,1.0,0.3,1.3,0.182,-0.1,1.0,0.9,0.2,ATL
12,13,Gorgui Dieng,32,32,309,16.5,0.606,0.548,0.274,10.0,26.0,18.0,12.6,1.4,3.5,15.3,15.8,0.6,0.3,0.9,0.141,0.5,0.7,1.2,0.3,ATL
13,14,Skylar Mays,24,18,185,15.3,0.61,0.417,0.117,3.0,11.1,7.1,11.2,1.9,0.0,8.7,16.4,0.3,0.1,0.4,0.103,0.7,-0.6,0.1,0.1,ATL
14,15,Solomon Hill,30,13,139,3.4,0.2,0.65,0.0,4.8,13.3,9.0,10.5,1.4,1.3,4.8,6.6,-0.1,0.1,0.0,-0.014,-5.0,0.8,-4.2,-0.1,ATL
15,16,Chaundee Brown Jr.,23,3,83,10.6,0.525,0.6,0.24,1.3,17.0,9.2,6.6,1.2,0.0,0.0,14.6,0.1,0.0,0.1,0.078,-2.2,-2.0,-4.2,0.0,ATL
16,17,Wes Iwundu,27,3,82,7.4,0.557,0.278,0.222,4.0,13.2,8.7,0.0,0.6,0.0,4.8,11.1,0.1,0.0,0.1,0.041,-3.7,-2.9,-6.7,-0.1,ATL
17,18,Lance Stephenson,31,6,70,4.7,0.396,0.231,0.154,1.6,21.7,11.7,20.4,0.0,0.0,22.4,11.2,-0.1,0.0,0.0,-0.029,-6.4,-0.9,-7.3,-0.1,ATL
18,19,Jalen Johnson,20,11,52,10.5,0.56,0.353,0.353,0.0,27.1,13.7,2.8,0.0,0.0,9.2,18.3,0.0,0.0,0.0,0.025,-2.8,-2.1,-4.8,0.0,ATL
19,20,Malcolm Hill,26,3,46,19.4,0.871,0.625,0.5,4.8,9.4,7.1,3.0,4.3,2.0,0.0,9.3,0.2,0.1,0.2,0.251,0.5,3.3,3.8,0.1,ATL
20,21,Cameron Oliver,25,2,43,22.0,0.705,0.2,0.2,5.1,10.1,7.6,11.4,1.1,2.1,0.0,16.6,0.2,0.0,0.2,0.22,2.6,-0.8,1.9,0.0,ATL
21,22,Sharife Cooper,20,10,35,-5.9,0.25,0.429,0.0,0.0,15.5,7.8,18.9,0.0,0.0,26.3,23.8,-0.2,0.0,-0.2,-0.336,-11.8,-5.8,-17.6,-0.1,ATL
22,23,Kevin Knox,22,3,30,5.8,0.45,0.7,0.0,0.0,14.5,7.3,4.7,1.6,0.0,9.1,16.1,0.0,0.0,0.0,-0.045,-4.7,-1.2,-5.9,0.0,ATL
23,24,Cat Barber,27,3,13,-11.3,0.0,0.0,1.0,8.5,16.7,12.6,27.4,0.0,0.0,14.8,22.8,-0.1,0.0,-0.1,-0.461,-15.6,-7.9,-23.6,-0.1,ATL
0,1,Domantas Sabonis,25,44,1534,22.9,0.648,0.194,0.451,10.2,27.7,18.9,22.2,1.4,1.1,16.9,21.9,4.6,1.7,6.3,0.196,3.8,0.9,4.7,2.6,IND
1,2,Myles Turner,25,42,1235,18.1,0.615,0.466,0.267,5.8,20.9,13.3,5.3,1.1,8.3,10.9,17.4,1.9,1.8,3.7,0.144,0.4,1.4,1.9,1.2,IND
2,3,Justin Holiday,32,42,1201,10.5,0.562,0.746,0.097,1.4,9.5,5.4,8.6,1.2,1.1,9.0,16.2,1.0,0.6,1.6,0.062,-0.7,-0.8,-1.5,0.2,IND
3,4,Chris Duarte,24,40,1162,13.2,0.539,0.434,0.163,2.7,13.1,7.9,12.0,1.9,0.5,11.5,21.4,0.4,0.9,1.3,0.053,-0.8,-0.7,-1.4,0.2,IND
4,5,Caris LeVert,27,33,1012,17.2,0.531,0.317,0.214,2.7,10.6,6.6,22.9,1.6,1.4,9.8,27.3,1.1,0.7,1.8,0.085,1.6,-1.0,0.5,0.7,IND
5,6,Malcolm Brogdon,29,28,934,18.6,0.558,0.365,0.297,2.8,14.3,8.5,28.1,1.3,1.0,11.6,24.5,1.9,0.6,2.5,0.129,3.0,-0.2,2.7,1.1,IND
